2025-02-07 20:18:43,548 - INFO - Running conjugate priors for file: 25_50_1
2025-02-07 20:18:43,549 - INFO - Number of biomarkers: 10
2025-02-07 20:18:44,797 - INFO - Iteration 200/2000, Acceptance Ratio: 4.50%, Log Likelihood: -1259.7343, Current Accepted Order: dict_values([9, 2, 6, 5, 3, 7, 8, 10, 1, 4]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 145.1195951192778, 'theta_std': 12.91966179396766, 'phi_mean': 232.21725785282257, 'phi_std': 62.05240800488309}), ('ADAS (6)', {'theta_mean': -19.532044704227392, 'theta_std': 4.516097217529894, 'phi_mean': -5.836425352345688, 'phi_std': 1.2775069692406091}), ('AVLT-Sum (8)', {'theta_mean': 17.264123345592726, 'theta_std': 3.331340290787913, 'phi_mean': 37.12835925403749, 'phi_std': 15.050080865035715}), ('FUS-FCI (10)', {'theta_mean': -12.804174324192365, 'theta_std': 7.216922260091882, 'phi_mean': -8.911154752554353, 'phi_std': 3.177721871711209}), ('FUS-GMI (9)', {'theta_mean': 0.5923329295397524, 'theta_std': 0.06386947513956834, 'phi_mean': 0.5978381700151093, 'phi_std': 0.06000243563897048}), ('HIP-FCI (1)', {'theta_mean': -4.7487554007908495, 'theta_std': 5.730604441890586, 'phi_mean': -0.14693599351249523, 'phi_std': 7.699400820143375}), ('HIP-GMI (7)', {'theta_mean': 0.30473781803285427, 'theta_std': 0.2846065583921081, 'phi_mean': 0.40931010138935675, 'phi_std': 0.2367324189996981}), ('MMSE (5)', {'theta_mean': 21.568866753919124, 'theta_std': 1.5450113251009077, 'phi_mean': 27.665718991716872, 'phi_std': 1.3978903641721387}), ('P-Tau (4)', {'theta_mean': -41.271616701541696, 'theta_std': 31.737237162914006, 'phi_mean': -24.405476099952473, 'phi_std': 15.920693482302092}), ('PCC-FCI (2)', {'theta_mean': 4.81388143357746, 'theta_std': 2.207711074289038, 'phi_mean': 10.376974582717825, 'phi_std': 5.70733199770761})]) 
2025-02-07 20:18:45,393 - INFO - Iteration 400/2000, Acceptance Ratio: 2.25%, Log Likelihood: -1259.7343, Current Accepted Order: dict_values([9, 2, 6, 5, 3, 7, 8, 10, 1, 4]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 145.1195951192778, 'theta_std': 12.91966179396766, 'phi_mean': 232.21725785282257, 'phi_std': 62.05240800488309}), ('ADAS (6)', {'theta_mean': -19.532044704227392, 'theta_std': 4.516097217529894, 'phi_mean': -5.836425352345688, 'phi_std': 1.2775069692406091}), ('AVLT-Sum (8)', {'theta_mean': 17.264123345592726, 'theta_std': 3.331340290787913, 'phi_mean': 37.12835925403749, 'phi_std': 15.050080865035715}), ('FUS-FCI (10)', {'theta_mean': -12.804174324192365, 'theta_std': 7.216922260091882, 'phi_mean': -8.911154752554353, 'phi_std': 3.177721871711209}), ('FUS-GMI (9)', {'theta_mean': 0.5923329295397524, 'theta_std': 0.06386947513956834, 'phi_mean': 0.5978381700151093, 'phi_std': 0.06000243563897048}), ('HIP-FCI (1)', {'theta_mean': -4.7487554007908495, 'theta_std': 5.730604441890586, 'phi_mean': -0.14693599351249523, 'phi_std': 7.699400820143375}), ('HIP-GMI (7)', {'theta_mean': 0.30473781803285427, 'theta_std': 0.2846065583921081, 'phi_mean': 0.40931010138935675, 'phi_std': 0.2367324189996981}), ('MMSE (5)', {'theta_mean': 21.568866753919124, 'theta_std': 1.5450113251009077, 'phi_mean': 27.665718991716872, 'phi_std': 1.3978903641721387}), ('P-Tau (4)', {'theta_mean': -41.271616701541696, 'theta_std': 31.737237162914006, 'phi_mean': -24.405476099952473, 'phi_std': 15.920693482302092}), ('PCC-FCI (2)', {'theta_mean': 4.81388143357746, 'theta_std': 2.207711074289038, 'phi_mean': 10.376974582717825, 'phi_std': 5.70733199770761})]) 
2025-02-07 20:18:45,995 - INFO - Iteration 600/2000, Acceptance Ratio: 1.50%, Log Likelihood: -1259.7343, Current Accepted Order: dict_values([9, 2, 6, 5, 3, 7, 8, 10, 1, 4]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 145.1195951192778, 'theta_std': 12.91966179396766, 'phi_mean': 232.21725785282257, 'phi_std': 62.05240800488309}), ('ADAS (6)', {'theta_mean': -19.532044704227392, 'theta_std': 4.516097217529894, 'phi_mean': -5.836425352345688, 'phi_std': 1.2775069692406091}), ('AVLT-Sum (8)', {'theta_mean': 17.264123345592726, 'theta_std': 3.331340290787913, 'phi_mean': 37.12835925403749, 'phi_std': 15.050080865035715}), ('FUS-FCI (10)', {'theta_mean': -12.804174324192365, 'theta_std': 7.216922260091882, 'phi_mean': -8.911154752554353, 'phi_std': 3.177721871711209}), ('FUS-GMI (9)', {'theta_mean': 0.5923329295397524, 'theta_std': 0.06386947513956834, 'phi_mean': 0.5978381700151093, 'phi_std': 0.06000243563897048}), ('HIP-FCI (1)', {'theta_mean': -4.7487554007908495, 'theta_std': 5.730604441890586, 'phi_mean': -0.14693599351249523, 'phi_std': 7.699400820143375}), ('HIP-GMI (7)', {'theta_mean': 0.30473781803285427, 'theta_std': 0.2846065583921081, 'phi_mean': 0.40931010138935675, 'phi_std': 0.2367324189996981}), ('MMSE (5)', {'theta_mean': 21.568866753919124, 'theta_std': 1.5450113251009077, 'phi_mean': 27.665718991716872, 'phi_std': 1.3978903641721387}), ('P-Tau (4)', {'theta_mean': -41.271616701541696, 'theta_std': 31.737237162914006, 'phi_mean': -24.405476099952473, 'phi_std': 15.920693482302092}), ('PCC-FCI (2)', {'theta_mean': 4.81388143357746, 'theta_std': 2.207711074289038, 'phi_mean': 10.376974582717825, 'phi_std': 5.70733199770761})]) 
2025-02-07 20:18:46,608 - INFO - Iteration 800/2000, Acceptance Ratio: 1.12%, Log Likelihood: -1259.7343, Current Accepted Order: dict_values([9, 2, 6, 5, 3, 7, 8, 10, 1, 4]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 145.1195951192778, 'theta_std': 12.91966179396766, 'phi_mean': 232.21725785282257, 'phi_std': 62.05240800488309}), ('ADAS (6)', {'theta_mean': -19.532044704227392, 'theta_std': 4.516097217529894, 'phi_mean': -5.836425352345688, 'phi_std': 1.2775069692406091}), ('AVLT-Sum (8)', {'theta_mean': 17.264123345592726, 'theta_std': 3.331340290787913, 'phi_mean': 37.12835925403749, 'phi_std': 15.050080865035715}), ('FUS-FCI (10)', {'theta_mean': -12.804174324192365, 'theta_std': 7.216922260091882, 'phi_mean': -8.911154752554353, 'phi_std': 3.177721871711209}), ('FUS-GMI (9)', {'theta_mean': 0.5923329295397524, 'theta_std': 0.06386947513956834, 'phi_mean': 0.5978381700151093, 'phi_std': 0.06000243563897048}), ('HIP-FCI (1)', {'theta_mean': -4.7487554007908495, 'theta_std': 5.730604441890586, 'phi_mean': -0.14693599351249523, 'phi_std': 7.699400820143375}), ('HIP-GMI (7)', {'theta_mean': 0.30473781803285427, 'theta_std': 0.2846065583921081, 'phi_mean': 0.40931010138935675, 'phi_std': 0.2367324189996981}), ('MMSE (5)', {'theta_mean': 21.568866753919124, 'theta_std': 1.5450113251009077, 'phi_mean': 27.665718991716872, 'phi_std': 1.3978903641721387}), ('P-Tau (4)', {'theta_mean': -41.271616701541696, 'theta_std': 31.737237162914006, 'phi_mean': -24.405476099952473, 'phi_std': 15.920693482302092}), ('PCC-FCI (2)', {'theta_mean': 4.81388143357746, 'theta_std': 2.207711074289038, 'phi_mean': 10.376974582717825, 'phi_std': 5.70733199770761})]) 
2025-02-07 20:18:47,226 - INFO - Iteration 1000/2000, Acceptance Ratio: 0.90%, Log Likelihood: -1259.7343, Current Accepted Order: dict_values([9, 2, 6, 5, 3, 7, 8, 10, 1, 4]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 145.1195951192778, 'theta_std': 12.91966179396766, 'phi_mean': 232.21725785282257, 'phi_std': 62.05240800488309}), ('ADAS (6)', {'theta_mean': -19.532044704227392, 'theta_std': 4.516097217529894, 'phi_mean': -5.836425352345688, 'phi_std': 1.2775069692406091}), ('AVLT-Sum (8)', {'theta_mean': 17.264123345592726, 'theta_std': 3.331340290787913, 'phi_mean': 37.12835925403749, 'phi_std': 15.050080865035715}), ('FUS-FCI (10)', {'theta_mean': -12.804174324192365, 'theta_std': 7.216922260091882, 'phi_mean': -8.911154752554353, 'phi_std': 3.177721871711209}), ('FUS-GMI (9)', {'theta_mean': 0.5923329295397524, 'theta_std': 0.06386947513956834, 'phi_mean': 0.5978381700151093, 'phi_std': 0.06000243563897048}), ('HIP-FCI (1)', {'theta_mean': -4.7487554007908495, 'theta_std': 5.730604441890586, 'phi_mean': -0.14693599351249523, 'phi_std': 7.699400820143375}), ('HIP-GMI (7)', {'theta_mean': 0.30473781803285427, 'theta_std': 0.2846065583921081, 'phi_mean': 0.40931010138935675, 'phi_std': 0.2367324189996981}), ('MMSE (5)', {'theta_mean': 21.568866753919124, 'theta_std': 1.5450113251009077, 'phi_mean': 27.665718991716872, 'phi_std': 1.3978903641721387}), ('P-Tau (4)', {'theta_mean': -41.271616701541696, 'theta_std': 31.737237162914006, 'phi_mean': -24.405476099952473, 'phi_std': 15.920693482302092}), ('PCC-FCI (2)', {'theta_mean': 4.81388143357746, 'theta_std': 2.207711074289038, 'phi_mean': 10.376974582717825, 'phi_std': 5.70733199770761})]) 
2025-02-07 20:18:47,816 - INFO - Iteration 1200/2000, Acceptance Ratio: 0.75%, Log Likelihood: -1259.7343, Current Accepted Order: dict_values([9, 2, 6, 5, 3, 7, 8, 10, 1, 4]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 145.1195951192778, 'theta_std': 12.91966179396766, 'phi_mean': 232.21725785282257, 'phi_std': 62.05240800488309}), ('ADAS (6)', {'theta_mean': -19.532044704227392, 'theta_std': 4.516097217529894, 'phi_mean': -5.836425352345688, 'phi_std': 1.2775069692406091}), ('AVLT-Sum (8)', {'theta_mean': 17.264123345592726, 'theta_std': 3.331340290787913, 'phi_mean': 37.12835925403749, 'phi_std': 15.050080865035715}), ('FUS-FCI (10)', {'theta_mean': -12.804174324192365, 'theta_std': 7.216922260091882, 'phi_mean': -8.911154752554353, 'phi_std': 3.177721871711209}), ('FUS-GMI (9)', {'theta_mean': 0.5923329295397524, 'theta_std': 0.06386947513956834, 'phi_mean': 0.5978381700151093, 'phi_std': 0.06000243563897048}), ('HIP-FCI (1)', {'theta_mean': -4.7487554007908495, 'theta_std': 5.730604441890586, 'phi_mean': -0.14693599351249523, 'phi_std': 7.699400820143375}), ('HIP-GMI (7)', {'theta_mean': 0.30473781803285427, 'theta_std': 0.2846065583921081, 'phi_mean': 0.40931010138935675, 'phi_std': 0.2367324189996981}), ('MMSE (5)', {'theta_mean': 21.568866753919124, 'theta_std': 1.5450113251009077, 'phi_mean': 27.665718991716872, 'phi_std': 1.3978903641721387}), ('P-Tau (4)', {'theta_mean': -41.271616701541696, 'theta_std': 31.737237162914006, 'phi_mean': -24.405476099952473, 'phi_std': 15.920693482302092}), ('PCC-FCI (2)', {'theta_mean': 4.81388143357746, 'theta_std': 2.207711074289038, 'phi_mean': 10.376974582717825, 'phi_std': 5.70733199770761})]) 
2025-02-07 20:18:48,422 - INFO - Iteration 1400/2000, Acceptance Ratio: 0.64%, Log Likelihood: -1259.7343, Current Accepted Order: dict_values([9, 2, 6, 5, 3, 7, 8, 10, 1, 4]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 145.1195951192778, 'theta_std': 12.91966179396766, 'phi_mean': 232.21725785282257, 'phi_std': 62.05240800488309}), ('ADAS (6)', {'theta_mean': -19.532044704227392, 'theta_std': 4.516097217529894, 'phi_mean': -5.836425352345688, 'phi_std': 1.2775069692406091}), ('AVLT-Sum (8)', {'theta_mean': 17.264123345592726, 'theta_std': 3.331340290787913, 'phi_mean': 37.12835925403749, 'phi_std': 15.050080865035715}), ('FUS-FCI (10)', {'theta_mean': -12.804174324192365, 'theta_std': 7.216922260091882, 'phi_mean': -8.911154752554353, 'phi_std': 3.177721871711209}), ('FUS-GMI (9)', {'theta_mean': 0.5923329295397524, 'theta_std': 0.06386947513956834, 'phi_mean': 0.5978381700151093, 'phi_std': 0.06000243563897048}), ('HIP-FCI (1)', {'theta_mean': -4.7487554007908495, 'theta_std': 5.730604441890586, 'phi_mean': -0.14693599351249523, 'phi_std': 7.699400820143375}), ('HIP-GMI (7)', {'theta_mean': 0.30473781803285427, 'theta_std': 0.2846065583921081, 'phi_mean': 0.40931010138935675, 'phi_std': 0.2367324189996981}), ('MMSE (5)', {'theta_mean': 21.568866753919124, 'theta_std': 1.5450113251009077, 'phi_mean': 27.665718991716872, 'phi_std': 1.3978903641721387}), ('P-Tau (4)', {'theta_mean': -41.271616701541696, 'theta_std': 31.737237162914006, 'phi_mean': -24.405476099952473, 'phi_std': 15.920693482302092}), ('PCC-FCI (2)', {'theta_mean': 4.81388143357746, 'theta_std': 2.207711074289038, 'phi_mean': 10.376974582717825, 'phi_std': 5.70733199770761})]) 
2025-02-07 20:18:49,016 - INFO - Iteration 1600/2000, Acceptance Ratio: 0.56%, Log Likelihood: -1259.7343, Current Accepted Order: dict_values([9, 2, 6, 5, 3, 7, 8, 10, 1, 4]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 145.1195951192778, 'theta_std': 12.91966179396766, 'phi_mean': 232.21725785282257, 'phi_std': 62.05240800488309}), ('ADAS (6)', {'theta_mean': -19.532044704227392, 'theta_std': 4.516097217529894, 'phi_mean': -5.836425352345688, 'phi_std': 1.2775069692406091}), ('AVLT-Sum (8)', {'theta_mean': 17.264123345592726, 'theta_std': 3.331340290787913, 'phi_mean': 37.12835925403749, 'phi_std': 15.050080865035715}), ('FUS-FCI (10)', {'theta_mean': -12.804174324192365, 'theta_std': 7.216922260091882, 'phi_mean': -8.911154752554353, 'phi_std': 3.177721871711209}), ('FUS-GMI (9)', {'theta_mean': 0.5923329295397524, 'theta_std': 0.06386947513956834, 'phi_mean': 0.5978381700151093, 'phi_std': 0.06000243563897048}), ('HIP-FCI (1)', {'theta_mean': -4.7487554007908495, 'theta_std': 5.730604441890586, 'phi_mean': -0.14693599351249523, 'phi_std': 7.699400820143375}), ('HIP-GMI (7)', {'theta_mean': 0.30473781803285427, 'theta_std': 0.2846065583921081, 'phi_mean': 0.40931010138935675, 'phi_std': 0.2367324189996981}), ('MMSE (5)', {'theta_mean': 21.568866753919124, 'theta_std': 1.5450113251009077, 'phi_mean': 27.665718991716872, 'phi_std': 1.3978903641721387}), ('P-Tau (4)', {'theta_mean': -41.271616701541696, 'theta_std': 31.737237162914006, 'phi_mean': -24.405476099952473, 'phi_std': 15.920693482302092}), ('PCC-FCI (2)', {'theta_mean': 4.81388143357746, 'theta_std': 2.207711074289038, 'phi_mean': 10.376974582717825, 'phi_std': 5.70733199770761})]) 
2025-02-07 20:18:49,610 - INFO - Iteration 1800/2000, Acceptance Ratio: 0.50%, Log Likelihood: -1259.7343, Current Accepted Order: dict_values([9, 2, 6, 5, 3, 7, 8, 10, 1, 4]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 145.1195951192778, 'theta_std': 12.91966179396766, 'phi_mean': 232.21725785282257, 'phi_std': 62.05240800488309}), ('ADAS (6)', {'theta_mean': -19.532044704227392, 'theta_std': 4.516097217529894, 'phi_mean': -5.836425352345688, 'phi_std': 1.2775069692406091}), ('AVLT-Sum (8)', {'theta_mean': 17.264123345592726, 'theta_std': 3.331340290787913, 'phi_mean': 37.12835925403749, 'phi_std': 15.050080865035715}), ('FUS-FCI (10)', {'theta_mean': -12.804174324192365, 'theta_std': 7.216922260091882, 'phi_mean': -8.911154752554353, 'phi_std': 3.177721871711209}), ('FUS-GMI (9)', {'theta_mean': 0.5923329295397524, 'theta_std': 0.06386947513956834, 'phi_mean': 0.5978381700151093, 'phi_std': 0.06000243563897048}), ('HIP-FCI (1)', {'theta_mean': -4.7487554007908495, 'theta_std': 5.730604441890586, 'phi_mean': -0.14693599351249523, 'phi_std': 7.699400820143375}), ('HIP-GMI (7)', {'theta_mean': 0.30473781803285427, 'theta_std': 0.2846065583921081, 'phi_mean': 0.40931010138935675, 'phi_std': 0.2367324189996981}), ('MMSE (5)', {'theta_mean': 21.568866753919124, 'theta_std': 1.5450113251009077, 'phi_mean': 27.665718991716872, 'phi_std': 1.3978903641721387}), ('P-Tau (4)', {'theta_mean': -41.271616701541696, 'theta_std': 31.737237162914006, 'phi_mean': -24.405476099952473, 'phi_std': 15.920693482302092}), ('PCC-FCI (2)', {'theta_mean': 4.81388143357746, 'theta_std': 2.207711074289038, 'phi_mean': 10.376974582717825, 'phi_std': 5.70733199770761})]) 
2025-02-07 20:18:50,201 - INFO - Iteration 2000/2000, Acceptance Ratio: 0.45%, Log Likelihood: -1259.7343, Current Accepted Order: dict_values([9, 2, 6, 5, 3, 7, 8, 10, 1, 4]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 145.1195951192778, 'theta_std': 12.91966179396766, 'phi_mean': 232.21725785282257, 'phi_std': 62.05240800488309}), ('ADAS (6)', {'theta_mean': -19.532044704227392, 'theta_std': 4.516097217529894, 'phi_mean': -5.836425352345688, 'phi_std': 1.2775069692406091}), ('AVLT-Sum (8)', {'theta_mean': 17.264123345592726, 'theta_std': 3.331340290787913, 'phi_mean': 37.12835925403749, 'phi_std': 15.050080865035715}), ('FUS-FCI (10)', {'theta_mean': -12.804174324192365, 'theta_std': 7.216922260091882, 'phi_mean': -8.911154752554353, 'phi_std': 3.177721871711209}), ('FUS-GMI (9)', {'theta_mean': 0.5923329295397524, 'theta_std': 0.06386947513956834, 'phi_mean': 0.5978381700151093, 'phi_std': 0.06000243563897048}), ('HIP-FCI (1)', {'theta_mean': -4.7487554007908495, 'theta_std': 5.730604441890586, 'phi_mean': -0.14693599351249523, 'phi_std': 7.699400820143375}), ('HIP-GMI (7)', {'theta_mean': 0.30473781803285427, 'theta_std': 0.2846065583921081, 'phi_mean': 0.40931010138935675, 'phi_std': 0.2367324189996981}), ('MMSE (5)', {'theta_mean': 21.568866753919124, 'theta_std': 1.5450113251009077, 'phi_mean': 27.665718991716872, 'phi_std': 1.3978903641721387}), ('P-Tau (4)', {'theta_mean': -41.271616701541696, 'theta_std': 31.737237162914006, 'phi_mean': -24.405476099952473, 'phi_std': 15.920693482302092}), ('PCC-FCI (2)', {'theta_mean': 4.81388143357746, 'theta_std': 2.207711074289038, 'phi_mean': 10.376974582717825, 'phi_std': 5.70733199770761})]) 
2025-02-07 20:18:50,430 - INFO - Results saved to conjugate_priors/results/25_50_1_results.json
